Thu Nov 15 06:48:13 2018,  TEMP IS LOW/HIGH, Heart Rate: 47 BPM, Body Temperature: -191.6 F, Navigational Coordinates:0.00, 0.00
Thu Nov 15 06:48:59 2018, ALERT: TEMP IS LOW/HIGH, Heart Rate: 47 BPM, Body Temperature: -191.6 F, Navigational Coordinates:0.00, 0.00
Thu Nov 15 06:49:00 2018, ALERT: TEMP IS LOW/HIGH, Heart Rate: 47 BPM, Body Temperature: -191.6 F, Navigational Coordinates:0.00, 0.00
Thu Nov 15 06:49:02 2018, ALERT: TEMP IS LOW/HIGH, Heart Rate: 47 BPM, Body Temperature: -191.6 F, Navigational Coordinates:0.00, 0.00
Thu Nov 15 06:49:03 2018, ALERT: TEMP IS LOW/HIGH, Heart Rate: 47 BPM, Body Temperature: -191.6 F, Navigational Coordinates:0.00, 0.00
Thu Nov 15 06:49:04 2018, ALERT: TEMP IS LOW/HIGH, Heart Rate: 47 BPM, Body Temperature: -191.6 F, Navigational Coordinates:0.00, 0.00
Thu Nov 15 06:49:06 2018, ALERT: TEMP IS LOW/HIGH, Heart Rate: 47 BPM, Body Temperature: -191.6 F, Navigational Coordinates:0.00, 0.00
Thu Nov 15 06:49:07 2018, ALERT: TEMP IS LOW/HIGH, Heart Rate: 47 BPM, Body Temperature: -191.6 F, Navigational Coordinates:0.00, 0.00
Thu Nov 15 06:49:08 2018, ALERT: TEMP IS LOW/HIGH, Heart Rate: 47 BPM, Body Temperature: -191.6 F, Navigational Coordinates:0.00, 0.00
Thu Nov 15 06:49:09 2018, ALERT: TEMP IS LOW/HIGH, Heart Rate: 47 BPM, Body Temperature: -191.6 F, Navigational Coordinates:0.00, 0.00
Thu Nov 15 06:49:11 2018, ALERT: TEMP IS LOW/HIGH, Heart Rate: 47 BPM, Body Temperature: -191.6 F, Navigational Coordinates:0.00, 0.00
Thu Nov 15 06:49:12 2018, ALERT: TEMP IS LOW/HIGH, Heart Rate: 47 BPM, Body Temperature: -191.6 F, Navigational Coordinates:0.00, 0.00
Thu Nov 15 06:49:13 2018, ALERT: TEMP IS LOW/HIGH, Heart Rate: 47 BPM, Body Temperature: -191.6 F, Navigational Coordinates:0.00, 0.00
Thu Nov 15 06:49:15 2018, ALERT: TEMP IS LOW/HIGH, Heart Rate: 47 BPM, Body Temperature: -191.6 F, Navigational Coordinates:0.00, 0.00
Thu Nov 15 06:49:16 2018, ALERT: TEMP IS LOW/HIGH, Heart Rate: 47 BPM, Body Temperature: -191.6 F, Navigational Coordinates:0.00, 0.00
Thu Nov 15 06:49:17 2018, ALERT: TEMP IS LOW/HIGH, Heart Rate: 47 BPM, Body Temperature: -191.6 F, Navigational Coordinates:0.00, 0.00
Thu Nov 15 06:49:18 2018, ALERT: TEMP IS LOW/HIGH, Heart Rate: 47 BPM, Body Temperature: -191.6 F, Navigational Coordinates:0.00, 0.00
Thu Nov 15 06:49:20 2018, ALERT: TEMP IS LOW/HIGH, Heart Rate: 47 BPM, Body Temperature: -191.6 F, Navigational Coordinates:0.00, 0.00
Thu Nov 15 06:49:21 2018, ALERT: TEMP IS LOW/HIGH, Heart Rate: 47 BPM, Body Temperature: -191.6 F, Navigational Coordinates:0.00, 0.00
Thu Nov 15 06:49:22 2018, ALERT: TEMP IS LOW/HIGH, Heart Rate: 47 BPM, Body Temperature: -191.6 F, Navigational Coordinates:0.00, 0.00
Thu Nov 15 06:49:24 2018, ALERT: TEMP IS LOW/HIGH, Heart Rate: 47 BPM, Body Temperature: -191.6 F, Navigational Coordinates:0.00, 0.00
Thu Nov 15 06:49:25 2018, ALERT: TEMP IS LOW/HIGH, Heart Rate: 47 BPM, Body Temperature: -191.6 F, Navigational Coordinates:0.00, 0.00
Thu Nov 15 06:49:26 2018, ALERT: TEMP IS LOW/HIGH, Heart Rate: 47 BPM, Body Temperature: -191.6 F, Navigational Coordinates:0.00, 0.00
Thu Nov 15 06:49:27 2018, ALERT: TEMP IS LOW/HIGH, Heart Rate: 47 BPM, Body Temperature: -191.6 F, Navigational Coordinates:0.00, 0.00
Thu Nov 15 06:49:29 2018, ALERT: TEMP IS LOW/HIGH, Heart Rate: 47 BPM, Body Temperature: -191.6 F, Navigational Coordinates:0.00, 0.00
Thu Nov 15 06:49:30 2018, ALERT: TEMP IS LOW/HIGH, Heart Rate: 47 BPM, Body Temperature: -191.6 F, Navigational Coordinates:0.00, 0.00
Thu Nov 15 06:49:31 2018, ALERT: TEMP IS LOW/HIGH, Heart Rate: 47 BPM, Body Temperature: -191.6 F, Navigational Coordinates:0.00, 0.00
Thu Nov 15 06:49:33 2018, ALERT: TEMP IS LOW/HIGH, Heart Rate: 47 BPM, Body Temperature: -191.6 F, Navigational Coordinates:0.00, 0.00
Thu Nov 15 06:49:34 2018, ALERT: TEMP IS LOW/HIGH, Heart Rate: 47 BPM, Body Temperature: -191.6 F, Navigational Coordinates:0.00, 0.00
Thu Nov 15 06:49:35 2018, ALERT: TEMP IS LOW/HIGH, Heart Rate: 47 BPM, Body Temperature: -191.6 F, Navigational Coordinates:0.00, 0.00
Thu Nov 15 06:49:36 2018, ALERT: TEMP IS LOW/HIGH, Heart Rate: 47 BPM, Body Temperature: -191.6 F, Navigational Coordinates:0.00, 0.00
Thu Nov 15 06:49:38 2018, ALERT: TEMP IS LOW/HIGH, Heart Rate: 47 BPM, Body Temperature: -191.6 F, Navigational Coordinates:0.00, 0.00
Thu Nov 15 06:49:39 2018, ALERT: TEMP IS LOW/HIGH, Heart Rate: 47 BPM, Body Temperature: -191.6 F, Navigational Coordinates:0.00, 0.00
Thu Nov 15 06:49:40 2018, ALERT: TEMP IS LOW/HIGH, Heart Rate: 47 BPM, Body Temperature: -191.6 F, Navigational Coordinates:0.00, 0.00
Thu Nov 15 06:49:42 2018, ALERT: TEMP IS LOW/HIGH, Heart Rate: 47 BPM, Body Temperature: -191.6 F, Navigational Coordinates:0.00, 0.00
Thu Nov 15 06:49:43 2018, ALERT: TEMP IS LOW/HIGH, Heart Rate: 47 BPM, Body Temperature: -191.6 F, Navigational Coordinates:0.00, 0.00
Thu Nov 15 06:49:44 2018, ALERT: TEMP IS LOW/HIGH, Heart Rate: 47 BPM, Body Temperature: -191.6 F, Navigational Coordinates:0.00, 0.00
Thu Nov 15 06:49:45 2018, ALERT: TEMP IS LOW/HIGH, Heart Rate: 47 BPM, Body Temperature: -191.6 F, Navigational Coordinates:0.00, 0.00
Thu Nov 15 06:49:47 2018, ALERT: TEMP IS LOW/HIGH, Heart Rate: 47 BPM, Body Temperature: -191.6 F, Navigational Coordinates:0.00, 0.00
Thu Nov 15 06:49:48 2018, ALERT: TEMP IS LOW/HIGH, Heart Rate: 47 BPM, Body Temperature: -191.6 F, Navigational Coordinates:0.00, 0.00
Thu Nov 15 06:49:49 2018, ALERT: TEMP IS LOW/HIGH, Heart Rate: 47 BPM, Body Temperature: -191.6 F, Navigational Coordinates:0.00, 0.00
Thu Nov 15 06:49:51 2018, ALERT: TEMP IS LOW/HIGH, Heart Rate: 47 BPM, Body Temperature: -191.6 F, Navigational Coordinates:0.00, 0.00
Thu Nov 15 06:49:52 2018, ALERT: TEMP IS LOW/HIGH, Heart Rate: 47 BPM, Body Temperature: -191.6 F, Navigational Coordinates:0.00, 0.00
Thu Nov 15 06:49:53 2018, ALERT: TEMP IS LOW/HIGH, Heart Rate: 47 BPM, Body Temperature: -191.6 F, Navigational Coordinates:0.00, 0.00
Thu Nov 15 06:49:54 2018, ALERT: TEMP IS LOW/HIGH, Heart Rate: 47 BPM, Body Temperature: -191.6 F, Navigational Coordinates:0.00, 0.00
Thu Nov 15 06:49:56 2018, ALERT: TEMP IS LOW/HIGH, Heart Rate: 47 BPM, Body Temperature: -191.6 F, Navigational Coordinates:0.00, 0.00
Thu Nov 15 06:49:57 2018, ALERT: TEMP IS LOW/HIGH, Heart Rate: 47 BPM, Body Temperature: -191.6 F, Navigational Coordinates:0.00, 0.00
Thu Nov 15 06:49:58 2018, ALERT: TEMP IS LOW/HIGH, Heart Rate: 47 BPM, Body Temperature: -191.6 F, Navigational Coordinates:0.00, 0.00
Thu Nov 15 06:50:00 2018, ALERT: TEMP IS LOW/HIGH, Heart Rate: 47 BPM, Body Temperature: -191.6 F, Navigational Coordinates:0.00, 0.00
Thu Nov 15 06:50:01 2018, ALERT: TEMP IS LOW/HIGH, Heart Rate: 47 BPM, Body Temperature: -191.6 F, Navigational Coordinates:0.00, 0.00
Thu Nov 15 06:50:02 2018, ALERT: TEMP IS LOW/HIGH, Heart Rate: 47 BPM, Body Temperature: -191.6 F, Navigational Coordinates:0.00, 0.00
Thu Nov 15 06:50:03 2018, ALERT: TEMP IS LOW/HIGH, Heart Rate: 47 BPM, Body Temperature: -191.6 F, Navigational Coordinates:0.00, 0.00
Thu Nov 15 06:50:05 2018, ALERT: TEMP IS LOW/HIGH, Heart Rate: 47 BPM, Body Temperature: -191.6 F, Navigational Coordinates:0.00, 0.00
Thu Nov 15 06:50:06 2018, ALERT: TEMP IS LOW/HIGH, Heart Rate: 47 BPM, Body Temperature: -191.6 F, Navigational Coordinates:0.00, 0.00
Thu Nov 15 06:50:07 2018, ALERT: TEMP IS LOW/HIGH, Heart Rate: 47 BPM, Body Temperature: -191.6 F, Navigational Coordinates:0.00, 0.00
Thu Nov 15 06:50:09 2018, ALERT: TEMP IS LOW/HIGH, Heart Rate: 47 BPM, Body Temperature: -191.6 F, Navigational Coordinates:0.00, 0.00
Thu Nov 15 06:50:10 2018, ALERT: TEMP IS LOW/HIGH, Heart Rate: 47 BPM, Body Temperature: -191.6 F, Navigational Coordinates:0.00, 0.00
Thu Nov 15 06:50:11 2018, ALERT: TEMP IS LOW/HIGH, Heart Rate: 47 BPM, Body Temperature: -191.6 F, Navigational Coordinates:0.00, 0.00
Thu Nov 15 06:50:12 2018, ALERT: TEMP IS LOW/HIGH, Heart Rate: 47 BPM, Body Temperature: -191.6 F, Navigational Coordinates:0.00, 0.00
Thu Nov 15 06:50:14 2018, ALERT: TEMP IS LOW/HIGH, Heart Rate: 47 BPM, Body Temperature: -191.6 F, Navigational Coordinates:0.00, 0.00
Thu Nov 15 06:50:15 2018, ALERT: TEMP IS LOW/HIGH, Heart Rate: 47 BPM, Body Temperature: -191.6 F, Navigational Coordinates:0.00, 0.00
Thu Nov 15 06:50:16 2018, ALERT: TEMP IS LOW/HIGH, Heart Rate: 47 BPM, Body Temperature: -191.6 F, Navigational Coordinates:0.00, 0.00
Thu Nov 15 06:50:18 2018, ALERT: TEMP IS LOW/HIGH, Heart Rate: 47 BPM, Body Temperature: -191.6 F, Navigational Coordinates:0.00, 0.00
Thu Nov 15 06:50:19 2018, ALERT: TEMP IS LOW/HIGH, Heart Rate: 47 BPM, Body Temperature: -191.6 F, Navigational Coordinates:0.00, 0.00
Thu Nov 15 06:50:20 2018, ALERT: TEMP IS LOW/HIGH, Heart Rate: 47 BPM, Body Temperature: -191.6 F, Navigational Coordinates:0.00, 0.00
Thu Nov 15 06:50:21 2018, ALERT: TEMP IS LOW/HIGH, Heart Rate: 47 BPM, Body Temperature: -191.6 F, Navigational Coordinates:0.00, 0.00
Thu Nov 15 06:50:23 2018, ALERT: TEMP IS LOW/HIGH, Heart Rate: 47 BPM, Body Temperature: -191.6 F, Navigational Coordinates:0.00, 0.00
Thu Nov 15 06:50:24 2018, ALERT: TEMP IS LOW/HIGH, Heart Rate: 47 BPM, Body Temperature: -191.6 F, Navigational Coordinates:0.00, 0.00
Thu Nov 15 06:50:25 2018, ALERT: TEMP IS LOW/HIGH, Heart Rate: 47 BPM, Body Temperature: -191.6 F, Navigational Coordinates:0.00, 0.00
Thu Nov 15 06:50:27 2018, ALERT: TEMP IS LOW/HIGH, Heart Rate: 47 BPM, Body Temperature: -191.6 F, Navigational Coordinates:0.00, 0.00
Thu Nov 15 06:50:28 2018, ALERT: TEMP IS LOW/HIGH, Heart Rate: 47 BPM, Body Temperature: -191.6 F, Navigational Coordinates:0.00, 0.00
Thu Nov 15 06:50:29 2018, ALERT: TEMP IS LOW/HIGH, Heart Rate: 47 BPM, Body Temperature: -191.6 F, Navigational Coordinates:0.00, 0.00
Thu Nov 15 06:50:30 2018, ALERT: TEMP IS LOW/HIGH, Heart Rate: 47 BPM, Body Temperature: -191.6 F, Navigational Coordinates:0.00, 0.00
Thu Nov 15 06:50:32 2018, ALERT: TEMP IS LOW/HIGH, Heart Rate: 47 BPM, Body Temperature: -191.6 F, Navigational Coordinates:0.00, 0.00
Thu Nov 15 06:50:33 2018, ALERT: TEMP IS LOW/HIGH, Heart Rate: 47 BPM, Body Temperature: -191.6 F, Navigational Coordinates:0.00, 0.00
Thu Nov 15 06:50:34 2018, ALERT: TEMP IS LOW/HIGH, Heart Rate: 47 BPM, Body Temperature: -191.6 F, Navigational Coordinates:0.00, 0.00
Thu Nov 15 06:50:36 2018, ALERT: TEMP IS LOW/HIGH, Heart Rate: 47 BPM, Body Temperature: -191.6 F, Navigational Coordinates:0.00, 0.00
Thu Nov 15 06:50:37 2018, ALERT: TEMP IS LOW/HIGH, Heart Rate: 47 BPM, Body Temperature: -191.6 F, Navigational Coordinates:0.00, 0.00
Thu Nov 15 06:50:38 2018, ALERT: TEMP IS LOW/HIGH, Heart Rate: 47 BPM, Body Temperature: -191.6 F, Navigational Coordinates:0.00, 0.00
Thu Nov 15 06:50:39 2018, ALERT: TEMP IS LOW/HIGH, Heart Rate: 47 BPM, Body Temperature: -191.6 F, Navigational Coordinates:0.00, 0.00
Thu Nov 15 06:50:41 2018, ALERT: TEMP IS LOW/HIGH, Heart Rate: 47 BPM, Body Temperature: -191.6 F, Navigational Coordinates:0.00, 0.00
Thu Nov 15 06:50:42 2018, ALERT: TEMP IS LOW/HIGH, Heart Rate: 47 BPM, Body Temperature: -191.6 F, Navigational Coordinates:0.00, 0.00
Thu Nov 15 06:50:43 2018, ALERT: TEMP IS LOW/HIGH, Heart Rate: 47 BPM, Body Temperature: -191.6 F, Navigational Coordinates:0.00, 0.00
Thu Nov 15 06:50:45 2018, ALERT: TEMP IS LOW/HIGH, Heart Rate: 47 BPM, Body Temperature: -191.6 F, Navigational Coordinates:0.00, 0.00
Thu Nov 15 06:50:46 2018, ALERT: TEMP IS LOW/HIGH, Heart Rate: 47 BPM, Body Temperature: -191.6 F, Navigational Coordinates:0.00, 0.00
Thu Nov 15 06:50:47 2018, ALERT: TEMP IS LOW/HIGH, Heart Rate: 47 BPM, Body Temperature: -191.6 F, Navigational Coordinates:0.00, 0.00
Thu Nov 15 06:50:48 2018, ALERT: TEMP IS LOW/HIGH, Heart Rate: 47 BPM, Body Temperature: -191.6 F, Navigational Coordinates:0.00, 0.00
Thu Nov 15 06:50:50 2018, ALERT: TEMP IS LOW/HIGH, Heart Rate: 47 BPM, Body Temperature: -191.6 F, Navigational Coordinates:0.00, 0.00
Thu Nov 15 06:50:51 2018, ALERT: TEMP IS LOW/HIGH, Heart Rate: 47 BPM, Body Temperature: -191.6 F, Navigational Coordinates:0.00, 0.00
Thu Nov 15 06:50:52 2018, ALERT: TEMP IS LOW/HIGH, Heart Rate: 47 BPM, Body Temperature: -191.6 F, Navigational Coordinates:0.00, 0.00
Thu Nov 15 06:50:54 2018, ALERT: TEMP IS LOW/HIGH, Heart Rate: 47 BPM, Body Temperature: -191.6 F, Navigational Coordinates:0.00, 0.00
Thu Nov 15 06:50:55 2018, ALERT: TEMP IS LOW/HIGH, Heart Rate: 47 BPM, Body Temperature: -191.6 F, Navigational Coordinates:0.00, 0.00
Thu Nov 15 06:50:56 2018, ALERT: TEMP IS LOW/HIGH, Heart Rate: 47 BPM, Body Temperature: -191.6 F, Navigational Coordinates:0.00, 0.00
Thu Nov 15 06:50:57 2018, ALERT: TEMP IS LOW/HIGH, Heart Rate: 47 BPM, Body Temperature: -191.6 F, Navigational Coordinates:0.00, 0.00
Thu Nov 15 06:50:59 2018, ALERT: TEMP IS LOW/HIGH, Heart Rate: 47 BPM, Body Temperature: -191.6 F, Navigational Coordinates:0.00, 0.00
Thu Nov 15 06:51:00 2018, ALERT: TEMP IS LOW/HIGH, Heart Rate: 47 BPM, Body Temperature: -191.6 F, Navigational Coordinates:0.00, 0.00
Thu Nov 15 06:51:01 2018, ALERT: TEMP IS LOW/HIGH, Heart Rate: 47 BPM, Body Temperature: -191.6 F, Navigational Coordinates:0.00, 0.00
Thu Nov 15 06:51:03 2018, ALERT: TEMP IS LOW/HIGH, Heart Rate: 47 BPM, Body Temperature: -191.6 F, Navigational Coordinates:0.00, 0.00
Thu Nov 15 06:51:04 2018, ALERT: TEMP IS LOW/HIGH, Heart Rate: 47 BPM, Body Temperature: -191.6 F, Navigational Coordinates:0.00, 0.00
Thu Nov 15 06:51:05 2018, ALERT: TEMP IS LOW/HIGH, Heart Rate: 47 BPM, Body Temperature: -191.6 F, Navigational Coordinates:0.00, 0.00
Thu Nov 15 06:51:06 2018, ALERT: TEMP IS LOW/HIGH, Heart Rate: 47 BPM, Body Temperature: -191.6 F, Navigational Coordinates:0.00, 0.00
Thu Nov 15 06:51:08 2018, ALERT: TEMP IS LOW/HIGH, Heart Rate: 47 BPM, Body Temperature: -191.6 F, Navigational Coordinates:0.00, 0.00
Thu Nov 15 06:51:09 2018, ALERT: TEMP IS LOW/HIGH, Heart Rate: 47 BPM, Body Temperature: -191.6 F, Navigational Coordinates:0.00, 0.00
Thu Nov 15 06:51:10 2018, ALERT: TEMP IS LOW/HIGH, Heart Rate: 47 BPM, Body Temperature: -191.6 F, Navigational Coordinates:0.00, 0.00
Thu Nov 15 06:51:12 2018, ALERT: TEMP IS LOW/HIGH, Heart Rate: 47 BPM, Body Temperature: -191.6 F, Navigational Coordinates:0.00, 0.00
Thu Nov 15 06:51:13 2018, ALERT: TEMP IS LOW/HIGH, Heart Rate: 47 BPM, Body Temperature: -191.6 F, Navigational Coordinates:0.00, 0.00
Thu Nov 15 06:51:14 2018, ALERT: TEMP IS LOW/HIGH, Heart Rate: 47 BPM, Body Temperature: -191.6 F, Navigational Coordinates:0.00, 0.00
Thu Nov 15 06:51:15 2018, ALERT: TEMP IS LOW/HIGH, Heart Rate: 47 BPM, Body Temperature: -191.6 F, Navigational Coordinates:0.00, 0.00
Thu Nov 15 06:51:17 2018, ALERT: TEMP IS LOW/HIGH, Heart Rate: 47 BPM, Body Temperature: -191.6 F, Navigational Coordinates:0.00, 0.00
Thu Nov 15 06:51:18 2018, ALERT: TEMP IS LOW/HIGH, Heart Rate: 47 BPM, Body Temperature: -191.6 F, Navigational Coordinates:0.00, 0.00
Thu Nov 15 06:51:19 2018, ALERT: TEMP IS LOW/HIGH, Heart Rate: 47 BPM, Body Temperature: -191.6 F, Navigational Coordinates:0.00, 0.00
Thu Nov 15 06:51:21 2018, ALERT: TEMP IS LOW/HIGH, Heart Rate: 47 BPM, Body Temperature: -191.6 F, Navigational Coordinates:0.00, 0.00
Thu Nov 15 06:51:22 2018, ALERT: TEMP IS LOW/HIGH, Heart Rate: 47 BPM, Body Temperature: -191.6 F, Navigational Coordinates:0.00, 0.00
Thu Nov 15 06:51:23 2018, ALERT: TEMP IS LOW/HIGH, Heart Rate: 47 BPM, Body Temperature: -191.6 F, Navigational Coordinates:0.00, 0.00
Thu Nov 15 06:51:24 2018, ALERT: TEMP IS LOW/HIGH, Heart Rate: 47 BPM, Body Temperature: -191.6 F, Navigational Coordinates:0.00, 0.00
Thu Nov 15 06:51:26 2018, ALERT: TEMP IS LOW/HIGH, Heart Rate: 47 BPM, Body Temperature: -191.6 F, Navigational Coordinates:0.00, 0.00
Thu Nov 15 06:51:27 2018, ALERT: TEMP IS LOW/HIGH, Heart Rate: 47 BPM, Body Temperature: -191.6 F, Navigational Coordinates:0.00, 0.00
Thu Nov 15 06:51:28 2018, ALERT: TEMP IS LOW/HIGH, Heart Rate: 47 BPM, Body Temperature: -191.6 F, Navigational Coordinates:0.00, 0.00
Thu Nov 15 06:51:30 2018, ALERT: TEMP IS LOW/HIGH, Heart Rate: 47 BPM, Body Temperature: -191.6 F, Navigational Coordinates:0.00, 0.00
Thu Nov 15 06:51:31 2018, ALERT: TEMP IS LOW/HIGH, Heart Rate: 47 BPM, Body Temperature: -191.6 F, Navigational Coordinates:0.00, 0.00
Thu Nov 15 06:51:32 2018, ALERT: TEMP IS LOW/HIGH, Heart Rate: 47 BPM, Body Temperature: -191.6 F, Navigational Coordinates:0.00, 0.00
Thu Nov 15 06:51:33 2018, ALERT: TEMP IS LOW/HIGH, Heart Rate: 47 BPM, Body Temperature: -191.6 F, Navigational Coordinates:0.00, 0.00
Thu Nov 15 06:51:35 2018, ALERT: TEMP IS LOW/HIGH, Heart Rate: 47 BPM, Body Temperature: -191.6 F, Navigational Coordinates:0.00, 0.00
Thu Nov 15 06:51:36 2018, ALERT: TEMP IS LOW/HIGH, Heart Rate: 47 BPM, Body Temperature: -191.6 F, Navigational Coordinates:0.00, 0.00
Thu Nov 15 06:51:37 2018, ALERT: TEMP IS LOW/HIGH, Heart Rate: 47 BPM, Body Temperature: -191.6 F, Navigational Coordinates:0.00, 0.00
Thu Nov 15 06:51:39 2018, ALERT: TEMP IS LOW/HIGH, Heart Rate: 47 BPM, Body Temperature: -191.6 F, Navigational Coordinates:0.00, 0.00
Thu Nov 15 06:51:40 2018, ALERT: TEMP IS LOW/HIGH, Heart Rate: 47 BPM, Body Temperature: -191.6 F, Navigational Coordinates:0.00, 0.00
